#options: 640x480 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1840 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:108 out:108 type:B dur:2 cpbdur:2 q:0.00 aq:1.00 tex:1154 mv:57 misc:373 imb:0 pmb:33 smb:1167 d:- ref:0 ;
in:107 out:109 type:b dur:4 cpbdur:4 q:0.00 aq:1.18 tex:2135 mv:63 misc:402 imb:0 pmb:48 smb:1152 d:- ref:0 ;
in:109 out:110 type:b dur:4 cpbdur:4 q:0.00 aq:1.18 tex:2085 mv:63 misc:396 imb:0 pmb:47 smb:1153 d:- ref:0 ;
in:114 out:111 type:P dur:4 cpbdur:4 q:0.00 aq:0.04 tex:5269 mv:150 misc:597 imb:3 pmb:94 smb:1103 d:- ref:0 ;
in:112 out:112 type:B dur:2 cpbdur:2 q:0.00 aq:1.00 tex:2844 mv:99 misc:369 imb:0 pmb:34 smb:1166 d:- ref:0 ;
in:111 out:113 type:b dur:4 cpbdur:4 q:0.00 aq:1.18 tex:3811 mv:98 misc:403 imb:0 pmb:49 smb:1151 d:- ref:0 ;
in:113 out:114 type:b dur:4 cpbdur:4 q:0.00 aq:1.15 tex:3614 mv:118 misc:404 imb:0 pmb:50 smb:1150 d:- ref:0 ;
in:118 out:115 type:P dur:2 cpbdur:2 q:0.00 aq:0.03 tex:6060 mv:188 misc:592 imb:7 pmb:102 smb:1091 d:- ref:0 ;
in:116 out:116 type:B dur:4 cpbdur:4 q:0.00 aq:0.22 tex:4482 mv:71 misc:551 imb:0 pmb:93 smb:1107 d:- ref:0 ;
in:115 out:117 type:b dur:2 cpbdur:2 q:0.00 aq:1.18 tex:4345 mv:87 misc:400 imb:0 pmb:51 smb:1149 d:- ref:0 ;
